MATCHSTATE:1:278:rc/cc/cc/crrf:|3c5s/7d4h6s/Ks/9h
MATCHSTATE:0:279:cc/crf:Kh3h|/Kd8s6s
MATCHSTATE:1:280:f:|8sQc
MATCHSTATE:0:281:rc/rrc/rrrc/rrc:8sQs|4h6d/7sQhAh/Ts/Th
MATCHSTATE:1:282:cc/cc/rf:|Ks5h/2s5dJh/9s
MATCHSTATE:0:283:cc/crc/rrrc/crf:Js7c|/KcAs3d/5h/3h
MATCHSTATE:1:284:f:|7s2d
MATCHSTATE:0:285:rf:8h3d|
MATCHSTATE:1:286:f:|8s5c
MATCHSTATE:0:287:cc/rc/cc/crc:6c6d|8c8s/5dAhQc/3d/2s
MATCHSTATE:1:288:cc/rc/rf:|7c5c/6hKsQs/6c
MATCHSTATE:0:289:crc/crc/crf:Ac3c|/2d5c7s/8h
MATCHSTATE:1:290:rrrf:|6s4d
MATCHSTATE:0:291:cc/cc/rrc/rc:9c7c|7s4s/QcJh9s/6s/Qs
MATCHSTATE:1:292:crrf:|3c9h
MATCHSTATE:0:293:cc/rrf:2d7c|/5c9cKc
MATCHSTATE:1:294:cc/rrrf:|6cQc/2s8s8h
MATCHSTATE:0:295:rrrc/crrc/rrc/crf:Ac2d|/9hKhAd/4c/Th
MATCHSTATE:1:296:f:|2cQs
MATCHSTATE:0:297:cc/cc/crf:8c8h|/KhTsTd/2c
MATCHSTATE:1:298:rc/crc/crc/rc:9c7c|7s6d/TsTdQc/Qh/7d
MATCHSTATE:0:299:cc/cc/crc/rc:7sKc|2dAd/Jd5dKh/3c/Ks
MATCHSTATE:1:300:rc/cc/rc/rrrc:2cQc|KhJd/AsJsTc/Td/Qs
MATCHSTATE:0:301:rc/rrf:5dKd|/3s9sJh
MATCHSTATE:1:302:crf:|9c6h
MATCHSTATE:0:303:cc/crf:As7c|/3dTh8s
MATCHSTATE:1:304:f:|2h6d
MATCHSTATE:0:305:rrc/rrc/rf:8h6d|/AdQcQd/Ah
MATCHSTATE:1:306:cc/rc/rrc/rrrrc:JcKs|7s5d/9d3cQh/Jd/4s
MATCHSTATE:0:307:rc/rc/cc/rc:Js4s|2d7c/9h9s4d/7s/Tc
MATCHSTATE:1:308:cc/cc/crc/cc:Th2h|Ac5d/Qs8cKh/Ad/9c
MATCHSTATE:0:309:rf:7hKh|
MATCHSTATE:1:310:crrrc/cc/rc/cc:2h2c|5d6c/Kh7h6d/Ac/Td
MATCHSTATE:0:311:crrc/rc/rc/crc:6cAd|QsJh/Kh7hKd/As/8d
MATCHSTATE:1:312:f:|JsKc
MATCHSTATE:0:313:f:6dQh|
MATCHSTATE:1:314:f:|TcAc
MATCHSTATE:0:315:rrc/crc/crrc/cc:2c5d|Qs9c/Th4sJh/Jc/8d
MATCHSTATE:1:316:rrc/cc/rf:|3s9d/Kh5c2c/Qd
MATCHSTATE:0:317:cc/rc/cc/crf:3h9c|/3cJh9s/6s/Ad
MATCHSTATE:1:318:f:|Qc6c
MATCHSTATE:0:319:rf:QdKd|
MATCHSTATE:1:320:cc/rc/rf:|8cQc/Th7d5h/4s
MATCHSTATE:0:321:rc/crrrrc/rc/crf:Td9d|/3h2hJs/Th/Ad
MATCHSTATE:1:322:rrrc/crrc/rc/rf:|Kh7d/6sAsQh/7s/7c
MATCHSTATE:0:323:crrf:Kc8c|
MATCHSTATE:1:324:cc/cc/cc/cc:Qd7h|Qs4s/Ts4dJd/9h/5h
MATCHSTATE:0:325:rrc/crf:Jh7d|/QcAd7h
MATCHSTATE:1:326:f:|2c4d
MATCHSTATE:0:327:rf:KhQc|
MATCHSTATE:1:328:f:|QhAs
MATCHSTATE:0:329:cc/cc/cc/crf:AsTd|/TsJhAd/Qh/Kh
MATCHSTATE:1:330:f:|7c3s
